date,yield,iso3
2012-03-01,1.8790909090909091,DEU
2012-04-01,1.736842105263158,DEU
2012-05-01,1.4695454545454545,DEU
2012-06-01,1.4276190476190476,DEU
2012-07-01,1.3154545454545454,DEU
2012-08-01,1.4169565217391307,DEU
2012-09-01,1.5394999999999999,DEU
2012-10-01,1.5182608695652176,DEU
2012-11-01,1.3918181818181818,DEU
2012-12-01,1.3564705882352943,DEU
2013-01-01,1.5645454545454547,DEU
2013-02-01,1.6045000000000003,DEU
2013-03-01,1.415,DEU
2013-04-01,1.2557142857142858,DEU
2013-05-01,1.3595454545454546,DEU
2013-06-01,1.61,DEU
2013-07-01,1.6265217391304347,DEU
2013-08-01,1.7954545454545454,DEU
2013-09-01,1.9304761904761905,DEU
2013-10-01,1.8126086956521739,DEU
2013-11-01,1.7233333333333332,DEU
2013-12-01,1.8344444444444445,DEU
2014-01-01,1.8018181818181818,DEU
2014-02-01,1.657,DEU
2014-03-01,1.591904761904762,DEU
2014-04-01,1.541,DEU
2014-05-01,1.4076190476190475,DEU
2014-06-01,1.3504761904761904,DEU
2014-07-01,1.1956521739130435,DEU
2014-08-01,1.0238095238095237,DEU
2014-09-01,0.9981818181818182,DEU
2014-10-01,0.8677272727272727,DEU
2014-11-01,0.795,DEU
2014-12-01,0.6594736842105263,DEU
2015-01-01,0.4547619047619048,DEU
2015-02-01,0.3485,DEU
2015-03-01,0.26136363636363635,DEU
2015-04-01,0.15050000000000002,DEU
2015-05-01,0.5868421052631579,DEU
2015-06-01,0.8195454545454546,DEU
2015-07-01,0.7678260869565218,DEU
2015-08-01,0.6533333333333333,DEU
2015-09-01,0.6809090909090909,DEU
2015-10-01,0.5472727272727272,DEU
2015-11-01,0.5466666666666666,DEU
2015-12-01,0.5815,DEU
2016-01-01,0.507,DEU
2016-02-01,0.22904761904761903,DEU
2016-03-01,0.20380952380952383,DEU
2016-04-01,0.1676190476190476,DEU
2016-05-01,0.17047619047619048,DEU
2016-06-01,0.01863636363636364,DEU
2016-07-01,-0.08333333333333333,DEU
2016-08-01,-0.0782608695652174,DEU
2016-09-01,-0.05227272727272727,DEU
2016-10-01,0.0395,DEU
2016-11-01,0.22954545454545452,DEU
2016-12-01,0.2966666666666667,DEU
2017-01-01,0.3463636363636364,DEU
2017-02-01,0.3295,DEU
